Time,Thrust,Orbit Speed,Speed X,Speed Y,Speed Z,Dist,Pos X,Pos Y,Pos Z,Fac X,Fac Y,Fac Z,Mass,Height,Gravity,,Px,Py,Pz,T,Tx,Ty,Tz,Gx,Gy,Gz,Nx,Ny,Nz,Vx,Vy,Vz,V,Vdiff
124337.6533,0,199.2139997,46.30441342,0.099467002,-193.757862,1592879.143,-1328806.056,-819410.1424,-316394.4482,-0.834342826,-0.514318526,-0.198365031,7.440000057,129.1417369,9.818658042,,-0.834216495,-0.514420787,-0.198630542,12.87369359,-10.74107389,-6.62117911,-2.553690623,8.190886529,5.050921815,1.950285379,-2.550187359,-1.570257295,-0.603405244,46.25340967,0.068061856,-193.7699301,199.2138759,-1.02335E-06
124337.6733,95.78028107,199.2138769,46.25339245,0.06804193,-193.7699353,1592879.14,-1328805.131,-819410.1411,-316398.3236,-0.834340562,-0.514321387,-0.198367415,7.439265728,129.1392117,9.818658074,,-0.834215916,-0.514420787,-0.198632976,12.87623331,-10.74316374,-6.622522175,-2.554225112,8.19088084,5.050921815,1.950309271,-2.552282898,-1.57160036,-0.603915841,46.20234679,0.036609923,-193.7820136,199.2137721,-1.96386E-07
124337.6933,95.78026581,199.2137723,46.20234675,0.036609787,-193.7820138,1592879.139,-1328804.207,-819410.1404,-316402.1992,-0.83433844,-0.514323354,-0.198369993,7.438531399,129.137638,9.818658091,,-0.834215337,-0.514420787,-0.198635409,12.87750355,-10.74419622,-6.623200815,-2.554510283,8.190875166,5.050921824,1.950333166,-2.553321058,-1.572278991,-0.604177117,46.15128033,0.005164207,-193.7940974,199.2136865,1.68135E-07
124337.7133,95.78025818,199.2136863,46.15127849,0.005167291,-193.7940976,1592879.138,-1328803.284,-819410.1403,-316406.0751,-0.834337579,-0.514323711,-0.198372692,7.43779707,129.1371748,9.818658093,,-0.834214757,-0.514420787,-0.198637842,12.87877424,-10.74524532,-6.623858965,-2.554797114,8.190869478,5.050921825,1.950357058,-2.554375846,-1.57293714,-0.604440057,46.10019098,-0.026291451,-193.8061864,199.2136195,5.8712E-08
124337.7333,95.78025818,199.2136195,46.10018907,-0.026288237,-193.8061868,1592879.14,-1328802.362,-819410.1408,-316409.9512,-0.834337289,-0.514323473,-0.198376083,7.437063217,129.1379704,9.81865808,,-0.834214178,-0.514420787,-0.198640276,12.88004703,-10.74630352,-6.624510521,-2.555093275,8.190863779,5.050921818,1.950380947,-2.55543974,-1.573588703,-0.604712329,46.04908027,-0.057760011,-193.8182811,199.2135718,-2.013E-08
124337.7533,95.78026581,199.2135719,46.04907932,-0.05775821,-193.8182813,1592879.142,-1328801.441,-819410.1419,-316413.8276,-0.834336789,-0.514322817,-0.198379425,7.436328888,129.1401121,9.818658051,,-0.834213599,-0.514420787,-0.198642709,12.88131905,-10.74735837,-6.625156303,-2.555388669,8.190858066,5.050921803,1.950404833,-2.556500302,-1.5742345,-0.604983836,45.99794931,-0.0892429,-193.830381,199.2135435,-2.18076E-07
124337.7733,95.78026581,199.2135437,45.9979493,-0.089242657,-193.8303812,1592879.145,-1328800.521,-819410.1437,-316417.7042,-0.834335893,-0.514322877,-0.198383304,7.435594559,129.1436219,9.818658008,,-0.834213019,-0.514420787,-0.198645142,12.88259151,-10.7484085,-6.625811529,-2.555691072,8.190852341,5.05092178,1.950428715,-2.55755616,-1.574889749,-0.605262356,45.94679818,-0.120740452,-193.8424865,199.2135347,-2.62194E-07
124337.7933,95.78027344,199.2135349,45.94679877,-0.120741045,-193.8424866,1592879.15,-1328799.602,-819410.1461,-316421.5811,-0.834334815,-0.514322996,-0.198387684,7.434860706,129.1484667,9.818657949,,-0.83421244,-0.514420787,-0.198647575,12.88386506,-10.74945717,-6.626468078,-2.556000147,8.190846602,5.05092175,1.950452595,-2.558610564,-1.575546329,-0.605547552,45.89562656,-0.152251972,-193.8545975,199.2135455,-3.39425E-07
124337.8133,95.78028107,199.2135458,45.89562725,-0.152252744,-193.8545977,1592879.156,-1328798.684,-819410.1492,-316425.4582,-0.834333471,-0.514323592,-0.198391739,7.434126377,129.1545916,9.818657874,,-0.83421186,-0.514420787,-0.198650009,12.88514193,-10.7505052,-6.627132485,-2.55630572,8.190840851,5.050921711,1.950476472,-2.559664348,-1.576210774,-0.605829248,45.84443396,-0.183776959,-193.8667143,199.2135759,-3.19746E-07
124337.8333,95.78031158,199.2135762,45.84443446,-0.1837773,-193.8667145,1592879.163,-1328797.767,-819410.1529,-316429.3355,-0.834332123,-0.514324069,-0.198395963,7.433392048,129.1619457,9.818657785,,-0.834211281,-0.514420787,-0.198652442,12.88641598,-10.75155081,-6.627793903,-2.556612913,8.190835088,5.050921665,1.950500345,-2.560715718,-1.576872238,-0.606112568,45.79322014,-0.215314745,-193.8788368,199.2136258,-2.93323E-07
124337.8533,95.78031921,199.2136261,45.79322051,-0.215314722,-193.878837,1592879.172,-1328796.851,-819410.1572,-316433.2131,-0.834330746,-0.514324605,-0.198400461,7.432657719,129.1704971,9.81865768,,-0.834210702,-0.514420787,-0.198654875,12.88769151,-10.75259727,-6.62845685,-2.556923931,8.190829311,5.050921611,1.950524216,-2.561767955,-1.57753524,-0.606399716,45.74198515,-0.246865426,-193.890965,199.2136954,-2.75535E-07
124337.8733,95.7803421,199.2136957,45.74198542,-0.24686502,-193.8909652,1592879.182,-1328795.937,-819410.1621,-316437.0909,-0.834329412,-0.514324725,-0.198404917,7.431923866,129.1802383,9.81865756,,-0.834210122,-0.514420787,-0.198657308,12.88896811,-10.75364518,-6.629114976,-2.557234648,8.190823522,5.050921549,1.950548083,-2.562821661,-1.578193428,-0.606686565,45.69072899,-0.278428888,-193.9030989,199.2137847,-1.05544E-07
124337.8933,95.78036499,199.2137848,45.6907292,-0.278428478,-193.903099,1592879.193,-1328795.023,-819410.1677,-316440.969,-0.83432813,-0.514325082,-0.198409733,7.431189537,129.1911832,9.818657425,,-0.834209543,-0.514420787,-0.198659742,12.89024703,-10.7546957,-6.629777362,-2.557550474,8.19081772,5.050921479,1.950571948,-2.563877978,-1.578855883,-0.606978526,45.63945164,-0.310005595,-193.9152386,199.2138936,-3.29408E-07
